ecrivain,ecrivainLabel,nationaliteLabel,dateNaissance,dateMort,lieuNaissanceLabel,lieuDecesLabel,GeolocLieuNaissance,GeolocLieuDeces
http://www.wikidata.org/entity/Q47162,Romain Rolland,France,1866-01-29T00:00:00Z,1944-12-30T00:00:00Z,Clamecy,Vézelay,Point(3.519444444 47.46),Point(3.745833333 47.465833333)
http://www.wikidata.org/entity/Q47152,Mary Shelley,Royaume de Grande Bretagne,1797-08-30T00:00:00Z,1851-02-01T00:00:00Z,Somers Town,Chester Square,Point(-0.131497222 51.530969444),Point(-0.149722222 51.495277777)
http://www.wikidata.org/entity/Q58057,Johannes Robert Becher,République démocratique allemande,1891-05-22T00:00:00Z,1958-10-11T00:00:00Z,Munich,Berlin-Est,Point(11.5755 48.137194444),Point(13.404444444 52.518611111)
http://www.wikidata.org/entity/Q59076,Marcel Arland,France,1899-07-05T00:00:00Z,1986-01-12T00:00:00Z,Varennes-sur-Amance,Saint-Sauveur-sur-École,Point(5.621388888 47.895833333),Point(2.548055555 48.496666666)
http://www.wikidata.org/entity/Q47619,Nadine Gordimer,Afrique du Sud,1923-11-20T00:00:00Z,2014-07-13T00:00:00Z,Springs,Johannesbourg,Point(28.442777777 -26.254722222),Point(28.050277777 -26.145)
http://www.wikidata.org/entity/Q44490,John Henry Newman,Royaume-Uni,1801-02-21T00:00:00Z,1890-08-11T00:00:00Z,Londres,Edgbaston,Point(-0.1275 51.507222222),Point(-1.919047222 52.45805)
http://www.wikidata.org/entity/Q651,Friedrich Theodor Vischer,Allemagne,1807-06-30T00:00:00Z,1887-09-14T00:00:00Z,Ludwigsbourg,Gmunden,Point(9.191944444 48.8975),Point(13.799444444 47.918055555)
http://www.wikidata.org/entity/Q52813792,Q52813792,Pakistan,1904-01-01T00:00:00Z,1974-02-10T00:00:00Z,Râmpur,Karachi,Point(79.0 28.8),Point(67.01 24.86)
http://www.wikidata.org/entity/Q42171459,Q42171459,Irak,1903-03-14T00:00:00Z,1937-12-10T00:00:00Z,Bagdad,Le Caire,Point(44.416666666 33.35),Point(31.239444444 30.056111111)
http://www.wikidata.org/entity/Q448,Denis Diderot,France,1713-10-05T00:00:00Z,1784-07-31T00:00:00Z,Langres,Paris,Point(5.333055555 47.8625),Point(2.351827777 48.856577777)
http://www.wikidata.org/entity/Q49651686,Q49651686,Grèce,1898-01-01T00:00:00Z,1984-01-01T00:00:00Z,Athènes,Athènes,Point(23.716111111 37.979444444),Point(23.716111111 37.979444444)
http://www.wikidata.org/entity/Q410,Carl Sagan,États-Unis,1934-11-09T00:00:00Z,1996-12-20T00:00:00Z,Brooklyn,Seattle,Point(-73.990277777 40.692777777),Point(-122.316666666 47.6)
http://www.wikidata.org/entity/Q49651686,Q49651686,Grèce,1895-04-29T00:00:00Z,1984-01-01T00:00:00Z,Athènes,Athènes,Point(23.716111111 37.979444444),Point(23.716111111 37.979444444)
http://www.wikidata.org/entity/Q42120271,Q42120271,Irak,1908-01-01T00:00:00Z,1996-01-01T00:00:00Z,Mossoul,Bagdad,Point(43.116666666 36.366666666),Point(44.416666666 33.35)
http://www.wikidata.org/entity/Q37367867,Q37367867,Espagne,1828-05-22T00:00:00Z,1896-11-11T00:00:00Z,Carthagène,Carthagène,Point(-0.981944444 37.6),Point(-0.981944444 37.6)
http://www.wikidata.org/entity/Q52813792,Q52813792,Raj britannique,1904-01-01T00:00:00Z,1974-02-10T00:00:00Z,Râmpur,Pakistan,Point(79.0 28.8),Point(69.0 29.0)
http://www.wikidata.org/entity/Q47009795,Jacqueline Rivière,France,1851-05-08T00:00:00Z,1920-02-20T00:00:00Z,Brive-la-Gaillarde,8e arrondissement de Paris,Point(1.533055555 45.158888888),Point(2.311111111 48.874166666)
http://www.wikidata.org/entity/Q44181269,Alexandre de Lavergne,France,1808-03-17T00:00:00Z,1879-04-21T00:00:00Z,Paris,Paris,Point(2.351827777 48.856577777),Point(2.351827777 48.856577777)
http://www.wikidata.org/entity/Q35440802,Emmanuel Dénarié,Duché de Savoie,1857-12-25T00:00:00Z,1926-07-16T00:00:00Z,Chambéry,Chambéry,Point(5.920833333 45.566388888),Point(5.920833333 45.566388888)
http://www.wikidata.org/entity/Q3102,Francis Coventry,Royaume de Grande Bretagne,1725-01-01T00:00:00Z,1754-01-01T00:00:00Z,Buckinghamshire,Middlesex,Point(-0.833333333 51.833333333),Point(-0.416666666 51.5)
http://www.wikidata.org/entity/Q909,Jorge Luis Borges,Argentine,1899-08-24T00:00:00Z,1986-06-14T00:00:00Z,Buenos Aires,Genève,Point(-58.381944444 -34.599722222),Point(6.15 46.2)
http://www.wikidata.org/entity/Q41798516,Q41798516,Autriche-Hongrie,1899-11-08T00:00:00Z,1979-12-11T00:00:00Z,Brno,Brno,Point(16.608333333 49.195277777),Point(16.608333333 49.195277777)
http://www.wikidata.org/entity/Q47344069,Jehanne d’Orliac,France,1883-05-25T00:00:00Z,1974-08-26T00:00:00Z,Compiègne,Amboise,Point(2.822222222 49.414166666),Point(0.9825 47.411388888)
http://www.wikidata.org/entity/Q52813792,Q52813792,Pakistan,1904-01-01T00:00:00Z,1974-02-10T00:00:00Z,Raj britannique,Karachi,Point(88.337777777 22.541111111),Point(67.0822 24.9056)
http://www.wikidata.org/entity/Q46753898,Elmo Valencia Franco,Colombie,1926-03-29T00:00:00Z,2017-09-12T00:00:00Z,Cali,Cali,Point(-76.519722222 3.44),Point(-76.519722222 3.44)
http://www.wikidata.org/entity/Q42,Douglas Adams,Royaume-Uni,1952-03-11T00:00:00Z,2001-05-11T00:00:00Z,Cambridge,Santa Barbara,Point(0.1225 52.208055555),Point(-119.714166666 34.425833333)
http://www.wikidata.org/entity/Q2754,Jaroslav Hašek,Autriche-Hongrie,1883-04-30T00:00:00Z,1923-01-03T00:00:00Z,Prague,Lipnice nad Sázavou,Point(14.421388888 50.088611111),Point(15.413601512 49.613077554)
