Title,Artist,Nationality,Gender,Date,DateAcquired,URL,ThumbnailURL,Column
Pick Up Your Feet: The Double Dutch Show,Skip Blumberg,(American),(Male),1981,1981-11-16,http://www.moma.org/collection/works/118218,,
Smothering Dreams,Daniel Reeves,(American),(Male),1981,1982-10-01,http://www.moma.org/collection/works/118220,http://www.moma.org/media/W1siZiIsIjI1NTAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=c82284a06206a595,
Piano Players Rarely Ever Play Together,Stevenson J. Palfi,(American),(Male),1983,1983-07-11,http://www.moma.org/collection/works/118222,http://www.moma.org/media/W1siZiIsIjI1MDcxOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a489a7acaeafeff1,
It Starts At Home,Michael Smith,(American),(Male),1982,1983-05-13,http://www.moma.org/collection/works/118223,http://www.moma.org/media/W1siZiIsIjE1MTYzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8d9e911b6fc806f6,
Windfalls: New Thoughts on Thinking,Matthew Geller,(American),(Male),1982,1983-07-13,http://www.moma.org/collection/works/118226,http://www.moma.org/media/W1siZiIsIjI1MDcxOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=75903ff3dc48fc38,
Montana,Jane Veeder,(American),(Female),1982,1983-03-30,http://www.moma.org/collection/works/118227,,
Spine Time,John Sturgeon,(American),(Male),1982,1984-09-19,http://www.moma.org/collection/works/118229,http://www.moma.org/media/W1siZiIsIjI1NTAzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2bd5200e9234e8ec,
California Stories,Nancy Buchanan,(American),(Female),1983,1984-09-03,http://www.moma.org/collection/works/118234,http://www.moma.org/media/W1siZiIsIjIyMDYwMiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=22999661555e8123,
Anthem,Bill Viola,(American),(Male),1983,1984-07-24,http://www.moma.org/collection/works/118236,http://www.moma.org/media/W1siZiIsIjE1MTY0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2df22bc9ece58733,
The Commission,Woody Vasulka,(American),(Male),1983,1984-07-15,http://www.moma.org/collection/works/118238,http://www.moma.org/media/W1siZiIsIjE1MTY0MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f554a6d71752a202,
Memories of Ancestral Power (The Moro Movement in the Solomon Islands),Bill Viola,(American),(Male),1977,1984-09-14,http://www.moma.org/collection/works/118239,http://www.moma.org/media/W1siZiIsIjE1MTY0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3b1b45e2834f1657,
L.A. Nickel,Branda Miller,(American),(Female),1983,1984-09-15,http://www.moma.org/collection/works/118245,,
Sabda,Daniel Reeves,(American),(Male),1984,1984-12-15,http://www.moma.org/collection/works/118246,,
White Food,Stephen Laub,(American),(Male),1983,1985-12-15,http://www.moma.org/collection/works/118247,http://www.moma.org/media/W1siZiIsIjIxNTc0NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=ed5eee338152142f,
Why Do Things Get in a Muddle? (Come on Petunia),Gary Hill,(American),(Male),1984,1985-12-16,http://www.moma.org/collection/works/118252,http://www.moma.org/media/W1siZiIsIjEzNjAyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=53258f427f7ff4f7,
Over My Head,Toni Basil,(American),(Female),1984,1986-01-02,http://www.moma.org/collection/works/118262,,
