Compositeur;Titre;date de la premiere;lieu de la premiere;coordonnées;langue de l'opéra;image
Giuseppe Verdi;Luisa Miller;1849-12-08;Teatro San Carlo;40.8375,14.249444444;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Luisa%20Miller%20Illustration%20Ricordi.jpg
Richard Wagner;Lohengrin;1850-08-28;théâtre national allemand;50.97956111,11.32468333;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/August%20von%20Heckel%20Lohengrin.jpg
Richard Wagner;Lohengrin;1850-08-28;théâtre national allemand;50.9796,11.3247;allemand;http://commons.wikimedia.org/wiki/Special:FilePath/August%20von%20Heckel%20Lohengrin.jpg
Saverio Mercadante;Medea;1851-03-01;Teatro San Carlo;40.8375,14.249444444;italien;
Giuseppe Verdi;Rigoletto;1851-03-11;La Fenice;45.433333333,12.333055555;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Rigoletto%20premiere%20poster.jpg
Adolphe Adam;Si j'étais roi;1852-09-04;Théâtre-Lyrique;48.867486,2.364964;français;
Victor Massé;Les Noces de Jeannette;1853-02-04;Paris;48.856577777,2.351827777;français;
Emilio Arrieta;El dominó azul;1853-02-19;Teatro del Circo;40.420215,-3.696438;espagnol;
Giuseppe Verdi;La traviata;1853-03-06;La Fenice;45.433333333,12.333055555;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Traviata.jpg
Jacques Offenbach;Pépito;1853-10-28;théâtre des Variétés;48.871111111,2.341944444;français;
Giuseppe Verdi;Les Vêpres siciliennes;1855-06-13;opéra de Paris;48.8719697,2.3316014;français;http://commons.wikimedia.org/wiki/Special:FilePath/Vesper2.jpg
Giuseppe Verdi;Les Vêpres siciliennes;1855-06-13;opéra de Paris;48.8719697,2.3316014;italien;http://commons.wikimedia.org/wiki/Special:FilePath/Vesper2.jpg
Jacques Offenbach;Les Deux Aveugles;1855-07-05;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Les%20deux%20aveugles%201855%20vocal%20score%20cover%20by%20Loire%20-%20Gallica.jpg
Jacques Offenbach;Tromb-al-ca-zar ou les Criminels dramatiques;1855-07-05;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Tromb-Al-Ca-Zar%20Quadrille.JPEG
Jacques Offenbach;Une nuit blanche;1855-07-05;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Offenbach%20Jaques%20Luckhardt.png
Jacques Offenbach;Le Rêve d'une nuit d'été;1855-07-30;théâtre des Bouffes-Parisiens;48.869166666,2.335555555;français;http://commons.wikimedia.org/wiki/Special:FilePath/Offenbach%20Jaques%20Luckhardt.png
